Kd_Prov,Provinsi,Persentase
11,Aceh,77,06
12,Sumatera Utara,81,08
13,Sumatera Barat,68,11
14,Riau,83,99
15,Jambi,77,82
16,Sumatera Selatan,76,94
17,Bengkulu,78,1
18,Lampung,78,81
19,Kepulauan Bangka Belitung,92,58
21,Kepulauan Riau,89,19
31,DKI Jakarta,93,04
32,Jawa Barat,71,4
33,Jawa Tengah,83,24
34,D.I. Yogyakarta,96,96
35,Jawa Timur,80,98
36,Banten,82
51,Bali,95,01
52,Nusa Tenggara Barat,82,89
53,Nusa Tenggara Timur,69,7
61,Kalimantan Barat,75,81
62,Kalimantan Tengah,72,31
63,Kalimantan Selatan,81,17
64,Kalimantan Timur,89,17
65,Kalimantan Utara,82,09
71,Sulawesi Utara,85,49
72,Sulawesi Tengah,74,61
73,Sulawesi Selatan,88,96
74,Sulawesi Tenggara,82,38
75,Gorontalo,75,68
76,Sulawesi Barat,77,07
81,Maluku,75,06
82,Maluku Utara,75,99
91,Papua Barat,78,71
94,Papua,40,31
